val_loss,train_loss,train_value_mae,train_policy_acc,val_policy_acc,epoch,_step
6.054590225219727,4.479959487915039,0.29599085450172424,0.1557600051164627,0.06632000207901001,1,0
4.9650373458862305,3.484588861465454,0.2869875729084015,0.27790001034736633,0.19128000736236572,2,1
3.259467601776123,3.2705912590026855,0.28474128246307373,0.29965999722480774,0.30851998925209045,3,2
3.1319875717163086,3.1303436756134033,0.2827804386615753,0.31723999977111816,0.32381999492645264,4,3
3.049811840057373,3.064471483230591,0.27563977241516113,0.3274199962615967,0.32934001088142395,5,4
2.9923572540283203,2.9927496910095215,0.2731548547744751,0.33535999059677124,0.3372800052165985,6,5
2.9535419940948486,2.9524831771850586,0.2696559727191925,0.3432599902153015,0.3416999876499176,7,6
2.9257724285125732,2.9182443618774414,0.26664304733276367,0.3462800085544586,0.34233999252319336,8,7
2.9048049449920654,2.8762238025665283,0.2639634907245636,0.35058000683784485,0.3470599949359894,9,8
2.88809871673584,2.862403631210327,0.2634206712245941,0.34988000988960266,0.3510400056838989,10,9
2.8362109661102295,2.843956232070923,0.26389414072036743,0.3544999957084656,0.3597399890422821,11,10
2.831325054168701,2.8180716037750244,0.2597886621952057,0.35756000876426697,0.3594599962234497,12,11
2.8117330074310303,2.808859348297119,0.25834155082702637,0.3601199984550476,0.3600600063800812,13,12
2.7971537113189697,2.788275957107544,0.25801530480384827,0.36208000779151917,0.3644999861717224,14,13
2.780996322631836,2.7756030559539795,0.2571086883544922,0.36456000804901123,0.3641200065612793,15,14
2.803415060043335,2.764518976211548,0.2563072144985199,0.36362001299858093,0.36197999119758606,16,15
2.771244764328003,2.732783079147339,0.25507354736328125,0.3678799867630005,0.36719998717308044,17,16
2.726433038711548,2.721463680267334,0.2545100450515747,0.37049999833106995,0.3686000108718872,18,17
2.770826816558838,2.712247848510742,0.2553957402706146,0.3707599937915802,0.37059998512268066,19,18
2.72377872467041,2.6885955333709717,0.25361475348472595,0.3720400035381317,0.37158000469207764,20,19
2.723813056945801,2.6947600841522217,0.2541253864765167,0.3738600015640259,0.36910000443458557,21,20
2.7144267559051514,2.666416645050049,0.2539724111557007,0.38016000390052795,0.37224000692367554,22,21
2.6817874908447266,2.6766161918640137,0.25161924958229065,0.3744800090789795,0.3778800070285797,23,22
2.685529947280884,2.642383098602295,0.25077158212661743,0.3778800070285797,0.37310001254081726,24,23
2.664687156677246,2.6421725749969482,0.25213098526000977,0.3820199966430664,0.38016000390052795,25,24
2.6471736431121826,2.627258062362671,0.2506973445415497,0.3828200101852417,0.3810400068759918,26,25
2.6273162364959717,2.6273200511932373,0.24864919483661652,0.38054001331329346,0.3834399878978729,27,26
2.637091875076294,2.6220669746398926,0.24924463033676147,0.3819200098514557,0.383899986743927,28,27
2.648768186569214,2.606128454208374,0.25051647424697876,0.3858399987220764,0.3799799978733063,29,28
2.6079704761505127,2.6003684997558594,0.24820201098918915,0.3854199945926666,0.38628000020980835,30,29
2.6113038063049316,2.589536666870117,0.24887190759181976,0.3873400092124939,0.3842400014400482,31,30
2.6057164669036865,2.5815131664276123,0.24815742671489716,0.38811999559402466,0.3876599967479706,32,31
2.5907649993896484,2.5701680183410645,0.24769359827041626,0.3891400098800659,0.3896400034427643,33,32
2.6177902221679688,2.572906255722046,0.24762386083602905,0.3882800042629242,0.3866400122642517,34,33
2.5860042572021484,2.5807104110717773,0.2472270280122757,0.3856799900531769,0.3904600143432617,35,34
2.5812652111053467,2.555046558380127,0.24933214485645294,0.39184001088142395,0.3898800015449524,36,35
2.5743308067321777,2.5454354286193848,0.2477644979953766,0.3913399875164032,0.39278000593185425,37,36
2.5815043449401855,2.5304436683654785,0.24661780893802643,0.3939000070095062,0.386819988489151,38,37
2.565697193145752,2.5366077423095703,0.24675461649894714,0.3920600116252899,0.39136001467704773,39,38
2.541585683822632,2.5355894565582275,0.24721936881542206,0.3926999866962433,0.3968200087547302,40,39
2.582294464111328,2.530043840408325,0.24586999416351318,0.39364001154899597,0.3883199989795685,41,40
2.540188789367676,2.5260937213897705,0.2439037561416626,0.39423999190330505,0.3948799967765808,42,41
2.5344855785369873,2.515240430831909,0.24346597492694855,0.39688000082969666,0.39542001485824585,43,42
2.509093761444092,2.517962694168091,0.24469353258609772,0.39528000354766846,0.39879998564720154,44,43
2.521474599838257,2.508643627166748,0.24334533512592316,0.39570000767707825,0.39750000834465027,45,44
2.567026376724243,2.515596628189087,0.24290890991687775,0.3955399990081787,0.39160001277923584,46,45
2.5174038410186768,2.4846608638763428,0.24136024713516235,0.40365999937057495,0.40026000142097473,47,46
2.5087742805480957,2.4961025714874268,0.24240995943546295,0.3980399966239929,0.39921998977661133,48,47
2.5131258964538574,2.475356340408325,0.242728590965271,0.4060400128364563,0.39844000339508057,49,48
2.5015478134155273,2.4895787239074707,0.24096687138080597,0.3952600061893463,0.4008600115776062,50,49
2.4993908405303955,2.4703338146209717,0.2419031709432602,0.4043799936771393,0.398499995470047,51,50
2.502239227294922,2.4784491062164307,0.2426258772611618,0.4006800055503845,0.40195998549461365,52,51
2.5076091289520264,2.4688165187835693,0.23963730037212372,0.40202000737190247,0.4016999900341034,53,52
2.4849865436553955,2.465768814086914,0.24205328524112701,0.40345999598503113,0.4038800001144409,54,53
2.4635047912597656,2.453786849975586,0.24071265757083893,0.4070799946784973,0.40459999442100525,55,54
2.4746081829071045,2.4596638679504395,0.24069644510746002,0.40167999267578125,0.4053800106048584,56,55
2.4557228088378906,2.4428961277008057,0.24073441326618195,0.40696001052856445,0.4062199890613556,57,56
2.477060079574585,2.4423797130584717,0.2398054301738739,0.4074000120162964,0.40244001150131226,58,57
2.4514129161834717,2.436314105987549,0.24051152169704437,0.4087800085544586,0.4071199893951416,59,58
2.459322452545166,2.4327311515808105,0.23851805925369263,0.4083400070667267,0.40790000557899475,60,59
2.456542730331421,2.4536547660827637,0.24038498103618622,0.40233999490737915,0.40902000665664673,61,60
2.4746925830841064,2.4250693321228027,0.2406560331583023,0.4077399969100952,0.4055800139904022,62,61
2.4533371925354004,2.4344706535339355,0.23917156457901,0.40845999121665955,0.4078400135040283,63,62
2.46187162399292,2.425215244293213,0.23753637075424194,0.4087199866771698,0.40727999806404114,64,63
2.427617073059082,2.4325201511383057,0.2377379685640335,0.40709999203681946,0.4120599925518036,65,64
2.4338505268096924,2.4258296489715576,0.23678229749202728,0.4068799912929535,0.41005998849868774,66,65
2.4295239448547363,2.4238674640655518,0.2388112097978592,0.40838000178337097,0.4126800000667572,67,66
2.441943407058716,2.425370454788208,0.23788078129291534,0.4084399938583374,0.4108400046825409,68,67
2.4321186542510986,2.420030355453491,0.23569414019584656,0.4078800082206726,0.4115000069141388,69,68
2.4594883918762207,2.4060375690460205,0.2347787469625473,0.41231998801231384,0.40623998641967773,70,69
2.4208273887634277,2.4139626026153564,0.2353592962026596,0.41078001260757446,0.4127199947834015,71,70
2.4760172367095947,2.4079394340515137,0.23692554235458374,0.4128600060939789,0.4077399969100952,72,71
2.4496848583221436,2.421562910079956,0.23643723130226135,0.4109399914741516,0.4108999967575073,73,72
2.414184331893921,2.3989241123199463,0.23718027770519257,0.41582000255584717,0.4135200083255768,74,73
2.4183380603790283,2.3858861923217773,0.23453697562217712,0.4171600043773651,0.4104200005531311,75,74
2.3956100940704346,2.3982350826263428,0.23636344075202942,0.4163599908351898,0.41468000411987305,76,75
2.400573492050171,2.385589361190796,0.23655980825424194,0.41519999504089355,0.41613999009132385,77,76
2.4142861366271973,2.3767340183258057,0.23493288457393646,0.4165799915790558,0.41538000106811523,78,77
2.3979225158691406,2.374199390411377,0.2342633157968521,0.4171600043773651,0.4160600006580353,79,78
2.4051244258880615,2.3702552318573,0.23201881349086761,0.41934001445770264,0.41433998942375183,80,79
2.391284227371216,2.3886771202087402,0.23486106097698212,0.4097000062465668,0.4179399907588959,81,80
2.3851864337921143,2.3788928985595703,0.23465527594089508,0.41558000445365906,0.41714000701904297,82,81
2.4100162982940674,2.3637921810150146,0.23334093391895294,0.42017999291419983,0.4146200120449066,83,82
2.375983715057373,2.3694000244140625,0.23563320934772491,0.41940000653266907,0.41923999786376953,84,83
2.3817219734191895,2.3574438095092773,0.23345261812210083,0.4244999885559082,0.4165000021457672,85,84
2.399549722671509,2.3743817806243896,0.2304287552833557,0.4140999913215637,0.4173800051212311,86,85
2.4076154232025146,2.3675029277801514,0.23305781185626984,0.4171000123023987,0.4185599982738495,87,86
2.3780312538146973,2.3679025173187256,0.2350098192691803,0.4172399938106537,0.4195599853992462,88,87
2.3822977542877197,2.361953020095825,0.2319018542766571,0.419979989528656,0.41811999678611755,89,88
2.3809311389923096,2.3437304496765137,0.2301262766122818,0.42298001050949097,0.4204399883747101,90,89
2.3870444297790527,2.358358144760132,0.2323557436466217,0.42118000984191895,0.4189999997615814,91,90
2.3829922676086426,2.3574891090393066,0.23163370788097382,0.4199399948120117,0.4193800091743469,92,91
2.357463836669922,2.3514912128448486,0.2310369461774826,0.4211199879646301,0.42052000761032104,93,92
2.4192276000976562,2.3593952655792236,0.23223876953125,0.4171000123023987,0.41495999693870544,94,93
2.3536672592163086,2.3531453609466553,0.23140589892864227,0.4203200042247772,0.42377999424934387,95,94
2.389220952987671,2.341155529022217,0.2313503473997116,0.4231399893760681,0.4176200032234192,96,95
2.356160879135132,2.3450465202331543,0.2325320839881897,0.42340001463890076,0.4206799864768982,97,96
2.3626797199249268,2.337494134902954,0.23258285224437714,0.4260999858379364,0.4219599962234497,98,97
2.356984853744507,2.336960792541504,0.23094972968101501,0.4257600009441376,0.421779990196228,99,98
2.3610918521881104,2.319793939590454,0.2298615425825119,0.4235599935054779,0.41986000537872314,100,99
2.345130681991577,2.3430275917053223,0.22992824018001556,0.42127999663352966,0.42340001463890076,101,100
2.3612539768218994,2.3433265686035156,0.23042897880077362,0.4226199984550476,0.421779990196228,102,101
2.364060401916504,2.3401072025299072,0.23000437021255493,0.4239799976348877,0.4206799864768982,103,102
2.360417604446411,2.32924485206604,0.23102499544620514,0.4255400002002716,0.42184001207351685,104,103
2.3692522048950195,2.322863817214966,0.22944508492946625,0.42340001463890076,0.4217199981212616,105,104
2.3493430614471436,2.34053635597229,0.2291843295097351,0.42326000332832336,0.4221400022506714,106,105
2.3391642570495605,2.3355724811553955,0.22836755216121674,0.42607998847961426,0.4256199896335602,107,106
2.378514051437378,2.324789047241211,0.22984275221824646,0.42333999276161194,0.4233599901199341,108,107
2.352376937866211,2.333822250366211,0.22940374910831451,0.423660010099411,0.4224399924278259,109,108
2.36431884765625,2.3131847381591797,0.2276560217142105,0.4291999936103821,0.42537999153137207,110,109
